2021/05/17 08:01:20 [error] 8#8: *5 open() "/docker/www/webserver/admin/index/static/js/simple.switch.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/simple.switch.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *7 open() "/docker/www/webserver/admin/index/static/js/jquery.timers.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/jquery.timers.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *8 open() "/docker/www/webserver/admin/index/static/js/jquery.unobtrusive-ajax.min.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/jquery.unobtrusive-ajax.min.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 8#8: *5 open() "/docker/www/webserver/admin/index/static/js/page.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/page.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *8 open() "/docker/www/webserver/admin/index/static/css/jquery-ui-private.css" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/css/jquery-ui-private.css HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 8#8: *5 open() "/docker/www/webserver/admin/index/static/js/common.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/common.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *8 open() "/docker/www/webserver/admin/index/static/js/jquery-ui-private.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/jquery-ui-private.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 8#8: *5 open() "/docker/www/webserver/admin/index/static/js/ns_common_base.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/ns_common_base.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *7 open() "/docker/www/webserver/admin/index/static/js/seller.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/seller.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 8#8: *5 open() "/docker/www/webserver/admin/index/static/picture/default_user_portrait.gif" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/picture/default_user_portrait.gif HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *7 open() "/docker/www/webserver/admin/index/static/picture/shop_logo.png" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/picture/shop_logo.png HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *8 open() "/docker/www/webserver/admin/index/static/js/load_task.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/load_task.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *7 open() "/docker/www/webserver/admin/index/static/picture/admin_left_logo.png" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/picture/admin_left_logo.png HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 7#7: *8 open() "/docker/www/webserver/admin/index/static/picture/六星开源商城_home.png" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/picture/%E5%85%AD%E6%98%9F%E5%BC%80%E6%BA%90%E5%95%86%E5%9F%8E_home.png HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
2021/05/17 08:01:20 [error] 8#8: *5 open() "/docker/www/webserver/admin/index/static/js/load_bottom.js" failed (2: No such file or directory), client: 172.27.0.1, server: , request: "GET /static/js/load_bottom.js HTTP/1.1", host: "localhost:9091", referrer: "http://localhost:9091/"
